id,date,hour,from,from_id,text_clean,reply_to_message_id,forwarded_from,edited,sticker_emoji,media_type,reactions
19076,2025-06-29 11:42:25,11,osy (simut),user5384267911,"Yakann, dimekapin",,,,,,
19077,2025-06-29 11:42:28,11,osy (simut),user5384267911,Ide bgs,,,,,,
19096,2025-06-30 07:40:48,7,osy (simut),user5384267911,IDE BGSSS,,,,,,
19097,2025-06-30 07:40:55,7,osy (simut),user5384267911,AKAN AK RIMEK,,,,,,
19098,2025-06-30 07:41:08,7,osy (simut),user5384267911,Bagi pict atasnya Nil,,,,,,
19110,2025-06-30 14:47:55,14,osy (simut),user5384267911,Ad hasnilnyah,19108.0,,,,,
19111,2025-06-30 14:48:05,14,osy (simut),user5384267911,WKWKWKWK,19109.0,,,,,
19112,2025-06-30 14:48:10,14,osy (simut),user5384267911,Sandy Sandyyy,,,,,,
19118,2025-06-30 14:52:22,14,osy (simut),user5384267911,Yeayy,19113.0,,,,,
19119,2025-06-30 14:52:25,14,osy (simut),user5384267911,Woww,19114.0,,,,,
19120,2025-06-30 14:52:29,14,osy (simut),user5384267911,Sptnya iyh,19115.0,,,,,
19121,2025-06-30 14:52:37,14,osy (simut),user5384267911,Bs jadi 🤔,19116.0,,,,,
19122,2025-06-30 14:52:42,14,osy (simut),user5384267911,"Gak tauu, blm pernah ngulang",19117.0,,,,,
19123,2025-06-30 14:52:54,14,osy (simut),user5384267911,Malas jg gpp lah b dan b+ itu menjajar 7,,,,,,
19155,2025-07-01 07:01:13,7,osy (simut),user5384267911,"Iyh, ak nemu yang ngulang tuh karena emng blm lulus aj 🤔",19143.0,,,,,
19156,2025-07-01 07:01:32,7,osy (simut),user5384267911,Pgn coba tp tkt lebih kecil gt terus yang kecil yang diambil,,,,,,
19158,2025-07-01 07:01:43,7,osy (simut),user5384267911,Gina,19147.0,,,,,
19159,2025-07-01 07:01:48,7,osy (simut),user5384267911,AHAHAHAHAHAHAHAHAH,19148.0,,,,,
19160,2025-07-01 07:01:50,7,osy (simut),user5384267911,Gmn kang,,,,,,
19169,2025-07-01 08:13:55,8,osy (simut),user5384267911,Hooo I see,19162.0,,,,,
19170,2025-07-01 08:13:56,8,osy (simut),user5384267911,Ok ok,,,,,,
19171,2025-07-01 08:14:12,8,osy (simut),user5384267911,"Ak smpet kepikiran ngulang pedagogik, tp ini tuh yang bermasalah dosennya 😹",,,,,,
19172,2025-07-01 08:14:20,8,osy (simut),user5384267911,Kang Gina,19165.0,,,,,
19173,2025-07-01 08:14:25,8,osy (simut),user5384267911,Sptnya iyh,19167.0,,,,,
19174,2025-07-01 08:14:31,8,osy (simut),user5384267911,TP AP GAK BS BACA ANJIP,,,,,,
19175,2025-07-01 08:14:51,8,osy (simut),user5384267911,Btw twinnie km punya kerudung langsung bertali spt warna item itu tp warna lain tdkk,,,,,,
19180,2025-07-01 08:20:55,8,osy (simut),user5384267911,MAW PINJAAAMM,,,,,,
19181,2025-07-01 08:20:59,8,osy (simut),user5384267911,"Okk, smngt kelasss",,,,,,
19186,2025-07-01 08:41:12,8,osy (simut),user5384267911,Gapapaahh,,,,,,
19187,2025-07-01 08:41:28,8,osy (simut),user5384267911,Kalau yang pink kuning itu satu warna atau gimanaa,,,2025-07-01T08:41:37,,,
19188,2025-07-01 09:49:01,9,osy (simut),user5384267911,Kata km kl baju dan celananya begini bgsnya kerudung warna aph,,,,,,
19189,2025-07-01 09:49:09,9,osy (simut),user5384267911,Soalna gk bleh pke segitiga aplgi pashmina,,,,,,
19198,2025-07-01 10:20:01,10,osy (simut),user5384267911,OHH,19191.0,,,,,
